Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
2.4833,14.9879,3.5928,8.4006,127.8565,5.6693,0.0000,0.0000,0.0000
2.5000,14.9820,3.5770,22.4811,125.9410,5.6813,0.0000,0.0000,0.0000
2.5167,14.9770,3.5612,39.2626,124.4643,5.6936,0.0000,0.0000,0.0000
2.5333,14.9732,3.5453,57.9888,123.4444,5.7069,0.0000,0.0000,0.0000
2.5500,14.9704,3.5295,77.9628,122.8971,5.7208,0.0000,0.0000,0.0000
2.5667,14.9688,3.5137,98.4739,122.8225,5.7354,0.0000,0.0000,0.0000
2.5833,14.9682,3.4978,118.8482,123.2056,5.7506,0.0000,0.0000,0.0000
2.6000,14.9687,3.4820,138.4665,124.0187,5.7664,0.0000,0.0000,0.0000
2.6167,14.9701,3.4662,156.7809,125.2222,5.7827,0.0000,0.0000,0.0000
2.6333,14.9723,3.4503,173.3261,126.7675,5.7995,0.0000,0.0000,0.0000
2.6500,14.9752,3.4345,187.7284,128.5989,5.8168,0.0000,0.0000,0.0000
2.6667,14.9786,3.4187,199.7105,130.6558,5.8343,0.0000,0.0000,0.0000
2.6833,14.9825,3.4028,209.0931,132.8748,5.8521,0.0000,0.0000,0.0000
2.7000,14.9865,3.3870,215.7934,135.1922,5.8701,0.0000,0.0000,0.0000
2.7167,14.9907,3.3712,219.8202,137.5459,5.8881,0.0000,0.0000,0.0000
2.7333,14.9948,3.3553,221.2667,139.8774,5.9062,0.0000,0.0000,0.0000
2.7500,14.9987,3.3395,220.3014,142.1328,5.9241,0.0000,0.0000,0.0000
2.7667,15.0023,3.3237,217.1568,144.2652,5.9420,0.0000,0.0000,0.0000
2.7833,14.9943,3.3078,0.0000,141.4475,5.9532,0.0000,0.0000,0.0000
2.8000,14.9869,3.2920,9.0768,138.9111,5.9649,0.0000,0.0000,0.0000
2.8167,14.9805,3.2762,24.2868,136.7847,5.9770,0.0000,0.0000,0.0000
2.8333,14.9751,3.2603,42.4181,135.1218,5.9898,0.0000,0.0000,0.0000
2.8500,14.9709,3.2445,62.6921,133.9578,6.0033,0.0000,0.0000,0.0000
2.8667,14.9680,3.2287,84.3212,133.3099,6.0175,0.0000,0.0000,0.0000
2.8833,14.9662,3.2128,106.5339,133.1778,6.0324,0.0000,0.0000,0.0000
2.9000,14.9656,3.1970,128.5986,133.5453,6.0480,0.0000,0.0000,0.0000
